date,IP,HICP,de1y,eurostoxx50,bbb_spread,ois_1y
2002-06-01,4.513054897080286,4.375757021660286,3.6800001,8.052967907331805,10.502857142857144,2.25
2002-07-01,4.505349850705881,4.378018613276343,3.45,7.94117002051385,11.589130434782609,-0.999999999999979
2002-08-01,4.508659285607248,4.379523504455763,3.3,7.900061382765973,12.270869565217392,-0.200000000000022
2002-09-01,4.513054897080286,4.3815265096322,3.03,7.803907546373117,12.33095238095238,-4
2002-10-01,4.507557357121091,4.383275854074314,3.02,7.776841776435199,13.462608695652174,2
2002-11-01,4.511957804265912,4.383275854074314,2.95,7.8473710155263925,10.777727272727272,-1.65000000000002
2002-12-01,4.498697941477575,4.3848975097655645,2.6300001,7.814815621582981,9.837272727272728,-1.55000000000003
2003-01-01,4.513054897080286,4.38974675768902,2.52,7.773756254860868,8.192608695652174,2.74999999999999
2003-02-01,4.515245478460105,4.392719264212625,2.3299999,7.68288872343987,8.136,1.00000000000002
2003-03-01,4.507557357121091,4.395559648956466,2.3,7.643225614756604,8.458095238095238,-1.69999999999999
2003-04-01,4.511957804265912,4.394449154672439,2.3900001,7.731174953971663,6.743636363636364,1.2
2003-05-01,4.4953553199808844,4.393831680123644,2.0699999,7.741983531483139,6.00304347826087,4
2003-06-01,4.4953553199808844,4.395559648956466,2,7.801116036905309,5.40952380952381,-7.000000000000011
2003-07-01,4.511957804265912,4.397284637062863,2.0899999,7.807854635134914,5.18,0.749999999999984
2003-09-01,4.49647076906475,4.402196841463264,2.0899999,7.845146658105057,4.381818181818182,-1.50000000000001
2003-10-01,4.522874943261261,4.403054001865957,2.3399999,7.833310958373101,4.058695652173913,2
2003-11-01,4.5217885770490405,4.4039104281738854,2.4100001,7.870188253325705,3.6604761904761904,1.00000000000002
2003-12-01,4.522874943261261,4.404399485525607,2.26,7.90180976676773,3.583478260869565,-2.4500000000000197
2004-01-01,4.520701029361642,4.407816206360175,2.1900001,7.951251008980967,3.541304347826087,-1.45000000000004
2004-02-01,4.529368472571809,4.409276949164042,2.02,7.963725828120146,3.7685714285714287,-1.7500000000000098
2004-03-01,4.522874943261261,4.4124345908452645,1.9299999,7.947680126620258,3.670434782608696,4
2004-04-01,4.532599493153256,4.415098675734075,2.1700001,7.9588793755472285,3.1863636363636365,8.00000000000001
2004-05-01,4.534747721691546,4.417876287567579,2.3,7.911539538259395,3.7066666666666666,1.50000000000001
2004-06-01,4.532599493153256,4.418961082466944,2.3599999,7.93457341910497,3.5513636363636363,-1.50000000000001
2004-07-01,4.541164856012179,4.420405647542997,2.3199999,7.912193582132664,3.6021739130434782,0.15000000000000602
2004-08-01,4.522874943261261,4.422568589986818,2.22,7.8811550012527,3.5863636363636364,-0.550000000000006
2004-09-01,4.535820107853298,4.423168578005057,2.3199999,7.918865888664054,3.3004545454545453,2
2004-10-01,4.540098189244376,4.4259238957110645,2.27,7.935364462711541,3.2627272727272727,-0.699999999999967
2004-11-01,4.528289141652134,4.4259238957110645,2.22,7.9664811076033395,3.0245454545454544,-0.700000000000012
2004-12-01,4.530446639792155,4.427119496044782,2.28,7.981391684109115,2.747391304347826,2.59999999999998
2005-01-01,4.539030383483547,4.4277167605909975,2.22,7.9919393801446414,2.8933333333333335,-5.54999999999999
2005-02-01,4.534747721691546,4.4298639640880415,2.27,8.02303567963903,2.5675,-1.4500000000000002
